"year","month","intent","police","sex","age","race","hispanic","place","education"
2019,"01","Suicide",0,"M",50,"White",100,"Home","BA+"
2019,"01","Suicide",0,"M",14,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"01","Suicide",0,"M",18,"White",100,"Home","Less than HS"
2019,"01","Homicide",0,"M",24,"Hispanic",226,"Home","HS/GED"
2019,"01","Suicide",0,"M",87,"White",100,"Home","HS/GED"
2019,"01","Suicide",0,"M",50,"Native American/Native Alaskan",100,"Home","Some college"
2019,"01","Suicide",0,"M",48,"Native American/Native Alaskan",100,"Home","BA+"
2019,"01","Suicide",0,"M",29,"Native American/Native Alaskan",100,"Other specified","Less than HS"
2019,"01","Suicide",0,"M",48,"White",100,"Home","HS/GED"
2019,"02","Suicide",0,"M",23,"Hispanic",225,"Other unspecified","Some college"
2019,"02","Suicide",0,"M",61,"White",100,"Home","HS/GED"
2019,"01","Suicide",0,"M",34,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"01","Homicide",0,"M",19,"White",100,"Other unspecified","Less than HS"
2019,"02","Homicide",0,"F",30,"Native American/Native Alaskan",100,"Street","HS/GED"
2019,"02","Homicide",0,"F",46,"White",100,"Home","Some college"
2019,"02","Suicide",0,"F",26,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"02","Homicide",1,"M",28,"White",100,NA,"HS/GED"
2019,"01","Suicide",0,"M",49,"White",100,"Home","BA+"
2019,"02","Suicide",0,"M",16,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"02","Suicide",0,"M",42,"White",100,"Home","Some college"
2019,"02","Suicide",0,"M",55,"Asian/Pacific Islander",100,"Other specified","HS/GED"
2019,"02","Suicide",0,"M",57,"White",100,"Home","Less than HS"
2019,"02","Suicide",0,"M",35,"Native American/Native Alaskan",100,"Trade/service area","HS/GED"
2019,"01","Suicide",0,"M",24,"White",100,"School/instiution","Some college"
2019,"02","Homicide",0,"F",47,"White",100,"Home","Some college"
2019,"02","Suicide",0,"M",48,"White",100,"Home","Some college"
2019,"02","Suicide",0,"M",57,"White",100,"Home","Some college"
2019,"02","Suicide",0,"M",27,"White",100,"Home","HS/GED"
2019,"02","Suicide",0,"M",59,"White",100,"Home","Less than HS"
2019,"03","Suicide",0,"M",58,"White",100,"Home","HS/GED"
2019,"02","Suicide",0,"M",16,"Asian/Pacific Islander",100,"Other specified","Less than HS"
2019,"03","Suicide",0,"F",49,"White",100,"Other specified","HS/GED"
2019,"03","Homicide",0,"M",23,"White",100,"Other specified","Less than HS"
2019,"02","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Street","HS/GED"
2019,"03","Suicide",0,"M",44,"White",100,"Other unspecified","Some college"
2019,"03","Suicide",0,"M",18,"White",100,"Home","Less than HS"
2019,"03","Suicide",0,"M",27,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"03","Suicide",0,"F",64,"White",100,"Other specified","Some college"
2019,"03","Homicide",0,"M",40,"White",100,"Home","Less than HS"
2019,"03","Homicide",0,"M",19,"Black",100,"Home","Less than HS"
2019,"03","Homicide",1,"M",25,"Native American/Native Alaskan",100,NA,"HS/GED"
2019,"03","Suicide",0,"M",58,"White",100,"Home","NA"
2019,"03","Suicide",0,"M",54,"White",100,"Other specified","Some college"
2019,"04","Homicide",0,"M",31,"Black",100,"Other specified","Less than HS"
2019,"03","Suicide",0,"M",31,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"04","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"04","Suicide",0,"M",62,"White",100,"Home","Some college"
2019,"04","Suicide",0,"F",37,"Asian/Pacific Islander",100,"Home","Some college"
2019,"02","Suicide",0,"M",54,"Hispanic",210,"Home","Some college"
2019,"04","Suicide",0,"M",71,"White",100,"Street","HS/GED"
2019,"03","Undetermined",0,"M",27,"White",100,"Home","Less than HS"
2019,"03","Homicide",0,"M",29,"White",100,"Home","Less than HS"
2019,"04","Homicide",0,"M",23,"Native American/Native Alaskan",100,"Street","Less than HS"
2019,"03","Undetermined",0,"M",22,"White",100,"Home","HS/GED"
2019,"02","Homicide",0,"M",40,"Black",100,"Other specified","BA+"
2019,"03","Accidental",0,"M",20,"White",100,"Other specified","HS/GED"
2019,"03","Suicide",0,"M",51,"White",100,"Other specified","Some college"
2019,"04","Suicide",0,"M",20,"White",100,"Other specified","HS/GED"
2019,"04","Suicide",0,"M",70,"White",100,"Home","BA+"
2019,"04","Homicide",0,"M",40,"White",100,"Other unspecified","Some college"
2019,"04","Suicide",0,"M",79,"White",100,"Home","HS/GED"
2019,"04","Homicide",0,"M",28,"White",100,"Other unspecified","HS/GED"
2019,"04","Suicide",0,"F",51,"White",100,"Home","BA+"
2019,"05","Suicide",0,"M",55,"White",100,"Street","Some college"
2019,"04","Homicide",0,"F",57,"White",100,"Other specified","Some college"
2019,"04","Homicide",0,"M",36,"Black",100,"Street","Some college"
2019,"04","Suicide",0,"M",59,"White",100,"Home","Some college"
2019,"05","Suicide",0,"M",16,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"04","Suicide",0,"M",68,"White",100,"Home","HS/GED"
2019,"05","Suicide",0,"M",24,"White",100,"Home","Some college"
2019,"05","Suicide",0,"M",33,"White",100,"Home","HS/GED"
2019,"05","Suicide",0,"M",27,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"06","Suicide",0,"M",79,"White",100,"Home","HS/GED"
2019,"06","Homicide",0,"M",18,"Asian/Pacific Islander",100,"Other specified","Less than HS"
2019,"05","Homicide",0,"M",37,"Hispanic",210,"Street","HS/GED"
2019,"05","Suicide",0,"F",45,"White",100,"Home","HS/GED"
2019,"05","Suicide",0,"M",18,"White",100,"Other specified","HS/GED"
2019,"05","Homicide",0,"M",46,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"06","Homicide",0,"F",19,"White",100,"Other specified","Some college"
2019,"06","Suicide",0,"M",35,"White",100,"Other unspecified","BA+"
2019,"06","Suicide",0,"M",55,"White",100,"Street","Some college"
2019,"06","Homicide",0,"M",48,"White",100,"Home","Some college"
2019,"05","Suicide",0,"M",18,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"06","Suicide",0,"F",17,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"06","Suicide",0,"M",20,"White",100,"Other specified","HS/GED"
2019,"06","Suicide",0,"M",37,"White",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",24,"Native American/Native Alaskan",100,"Other specified","HS/GED"
2019,"07","Suicide",0,"F",29,"Asian/Pacific Islander",100,"Home","HS/GED"
2019,"06","Homicide",0,"F",51,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"07","Suicide",0,"M",68,"White",100,"Industrial/construction","Less than HS"
2019,"07","Homicide",0,"M",41,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"07","Homicide",0,"F",39,"White",100,"Home","HS/GED"
2019,"07","Homicide",0,"F",60,"White",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",35,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"07","Homicide",0,"M",61,"Hispanic",210,"Home","HS/GED"
2019,"07","Suicide",0,"M",71,"White",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",46,"White",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",16,"White",100,"Home","Less than HS"
2019,"08","Suicide",0,"M",22,"White",100,"Home","HS/GED"
2019,"07","Suicide",0,"M",62,"White",100,"Home","Some college"
2019,"08","Suicide",0,"M",78,"White",100,"Home","BA+"
2019,"08","Suicide",0,"M",33,"White",100,"Home","Less than HS"
2019,"08","Suicide",0,"M",55,"White",100,"Home","Some college"
2019,"08","Suicide",0,"F",52,"White",100,"Home","HS/GED"
2019,"07","Undetermined",0,"M",17,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"08","Homicide",0,"M",40,"Native American/Native Alaskan",100,"Home","Some college"
2019,"08","Suicide",0,"M",41,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"08","Suicide",0,"M",35,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"09","Suicide",0,"M",34,"White",100,"Home","Some college"
2019,"09","Suicide",0,"M",32,"White",100,"Street","HS/GED"
2019,"09","Suicide",0,"M",38,"White",100,"Other unspecified","HS/GED"
2019,"09","Homicide",0,"M",36,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"09","Suicide",0,"M",17,"Hispanic",210,"Home","HS/GED"
2019,"08","Suicide",0,"M",23,"Hispanic",282,"Home","HS/GED"
2019,"09","Suicide",0,"M",61,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"09","Suicide",0,"F",67,"White",100,"Home","Some college"
2019,"08","Accidental",0,"M",38,"Native American/Native Alaskan",100,"Other specified","Less than HS"
2019,"09","Suicide",0,"M",72,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"08","Suicide",0,"M",61,"White",100,"Home","Some college"
2019,"09","Suicide",0,"M",33,"Black",100,"Other specified","HS/GED"
2019,"10","Suicide",0,"M",34,"White",100,"Home","HS/GED"
2019,"09","Undetermined",0,"M",37,"White",100,"Other specified","BA+"
2019,"10","Suicide",0,"M",73,"White",100,"Home","HS/GED"
2019,"08","Homicide",1,"M",38,"White",100,NA,"HS/GED"
2019,"10","Suicide",0,"M",17,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"10","Suicide",0,"M",29,"White",100,"Home","HS/GED"
2019,"10","Suicide",0,"M",31,"White",100,"Other specified","Some college"
2019,"10","Suicide",0,"M",27,"Native American/Native Alaskan",100,"Home","Less than HS"
2019,"10","Suicide",0,"M",38,"White",100,"Home","HS/GED"
2019,"08","Homicide",0,"M",19,"Black",100,"Home","Less than HS"
2019,"10","Suicide",0,"M",90,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"10","Suicide",0,"M",23,"White",100,"Home","HS/GED"
2019,"10","Suicide",0,"M",51,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"10","Suicide",0,"M",51,"Hispanic",210,"Other specified","BA+"
2019,"10","Homicide",0,"M",35,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"11","Suicide",0,"M",26,"White",100,"Home","Some college"
2019,"11","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home","HS/GED"
2019,"11","Homicide",0,"M",48,"Hispanic",210,"Other unspecified","Some college"
2019,"11","Homicide",0,"F",28,"Native American/Native Alaskan",100,"Other unspecified","Less than HS"
2019,"11","Suicide",0,"M",17,"White",100,"Home","Less than HS"
2019,"11","Homicide",0,"F",37,"Hispanic",210,"Other unspecified","Less than HS"
